,location,total_sqft,bath,price,bhk
1930,77.Tihar,1320.0,2.0,60.6,3
1931,77.Tihar,1295.0,2.0,59.5,3
1932,77.Tihar,1150.0,2.0,52.8,2
1933,77.Tihar,1150.0,2.0,52.8,2
1934,77.Tihar,1060.0,2.0,48.5,2
1935,77.Tihar,1150.0,2.0,52.5,2
1936,77.Tihar,1325.0,2.0,60.8,3
1937,77.Tihar,1060.0,2.0,48.66,2
1938,77.Tihar,1150.0,2.0,52.0,2
1939,77.Tihar,1154.0,2.0,51.8,2
1941,79.SantKabirnagar,861.0,2.0,34.5,2
1942,79.SantKabirnagar,1408.0,3.0,62.0,3
1943,79.SantKabirnagar,861.0,2.0,34.5,2
1944,79.SantKabirnagar,1318.0,3.0,54.0,3
1945,79.SantKabirnagar,861.0,2.0,36.5,2
1946,79.SantKabirnagar,1320.0,3.0,60.0,3
1947,79.SantKabirnagar,1345.0,3.0,60.0,3
1948,79.SantKabirnagar,1905.0,3.0,86.0,4
1949,79.SantKabirnagar,1318.0,3.0,56.0,3
1950,79.SantKabirnagar,1129.0,2.0,50.0,2
1951,8.Varanashi,1075.0,2.0,60.0,2
1952,8.Varanashi,1150.0,3.0,52.5,2
1953,8.Varanashi,1256.0,2.0,62.8,2
1954,8.Varanashi,1207.0,2.0,63.0,2
1955,8.Varanashi,1725.0,2.0,100.0,3
1956,8.Varanashi,1440.0,2.0,60.0,2
1957,8.Varanashi,1700.0,2.0,100.0,3
1959,8.Varanashi,2500.0,5.0,110.0,5
1960,8.Varanashi,600.0,1.0,30.0,1
1961,8.Varanashi,1390.0,2.0,65.0,2
1962,8.Varanashi,1256.0,2.0,62.8,2
1963,8.Varanashi,1000.0,2.0,48.0,2
1964,8.Varanashi,1350.0,2.0,75.0,3
1965,8.Varanashi,552.0,1.0,23.5,1
1966,8.Varanashi,1200.0,2.0,51.0,2
1970,8.Varanashi,1030.0,2.0,57.0,2
1971,8.Varanashi,1200.0,2.0,68.0,2
1972,8.Varanashi,1190.0,2.0,61.8,2
1973,8.Varanashi,4000.0,5.0,170.0,5
1974,8.Varanashi,1080.0,2.0,53.0,2
1975,8.Varanashi,1041.0,2.0,54.0,2
1976,8.Varanashi,812.0,2.0,42.0,2
1977,8.Varanashi,1010.0,2.0,57.0,2
1979,8.Varanashi,1075.0,2.0,60.0,2
1980,80.Bandra,1100.0,2.0,40.0,2
1981,80.Bandra,967.0,2.0,45.0,2
1982,80.Bandra,1618.0,3.0,82.5,3
1983,80.Bandra,1222.0,2.0,63.0,2
1985,80.Bandra,1300.0,3.0,65.0,3
1986,80.Bandra,950.0,2.0,38.0,2
1987,80.Bandra,1153.0,2.0,48.5,2
1988,80.Bandra,812.0,1.0,26.0,1
1990,80.Bandra,1460.0,2.0,65.0,3
1991,80.Bandra,1500.0,3.0,70.0,3
1992,80.Bandra,1621.0,3.0,72.0,3
1993,80.Bandra,812.0,1.0,26.0,1
1994,80.Bandra,990.0,2.0,40.0,2
1995,80.Bandra,1235.0,2.0,63.0,2
1996,80.Bandra,1385.0,3.0,64.0,3
1997,80.Bandra,1000.0,2.0,35.0,2
1998,80.Bandra,1010.0,2.0,35.0,2
2001,80.Bandra,1435.0,2.0,62.0,3
2002,80.Bandra,945.0,2.0,45.0,2
2004,80.Bandra,2500.0,3.0,120.0,4
2005,80.Bandra,1230.0,2.0,52.0,3
2006,80.Bandra,1120.0,2.0,50.0,2
2007,80.Bandra,1500.0,3.0,63.0,3
2008,80.Bandra,1200.0,2.0,40.0,2
2009,80.Bandra,1280.0,2.0,61.0,2
2010,80.Bandra,1205.0,2.0,56.58,2
2011,80.Bandra,1170.0,2.0,40.0,2
2012,80.Bandra,3000.0,3.0,132.0,4
2013,80.Bandra,1613.0,3.0,72.0,3
2014,80.Bandra,1110.0,2.0,36.25,2
2015,80.Bandra,1245.0,2.0,59.0,2
2016,80.Bandra,1200.0,2.0,50.0,2
2017,9.Bareily,900.0,2.0,40.0,2
2018,9.Bareily,1200.0,2.0,55.0,2
2019,9.Bareily,1900.0,3.0,135.0,3
2020,9.Bareily,924.0,2.0,45.0,2
2021,9.Bareily,900.0,2.0,60.0,2
2022,9.Bareily,1100.0,2.0,45.0,2
2023,9.Bareily,1200.0,2.0,55.0,2
2027,9.Bareily,1450.0,2.0,85.0,3
2028,9.Bareily,1200.0,2.0,55.0,2
2029,9.Bareily,1250.0,2.0,79.0,2
2030,9.Bareily,1190.0,2.0,50.0,2
2031,9.Bareily,1202.0,2.0,65.0,2
2032,9.Bareily,1340.0,2.0,75.0,2
2033,9.Bareily,2650.0,4.0,175.0,3
2034,9.Bareily,1450.0,2.0,90.0,3
2035,9.Bareily,1025.0,2.0,42.0,2
2036,9.Bareily,485.0,1.0,19.5,1
2037,Chamrajpet,1475.0,2.0,120.0,3
2038,Chamrajpet,1900.0,2.0,170.0,4
2039,Chamrajpet,1350.0,2.0,180.0,2
2040,Chamrajpet,1050.0,2.0,162.0,2
2041,Chamrajpet,1660.4,4.0,211.0,4
2042,Chamrajpet,505.0,1.0,85.0,1
2043,Chamrajpet,1565.0,3.0,98.91,3
2044,Chamrajpet,730.0,1.0,52.0,2
2045,Chamrajpet,650.0,1.0,40.0,2
2046,Chamrajpet,650.0,2.0,45.0,2
2047,Chamrajpet,1650.0,3.0,115.0,3
2049,Electronic City,1025.0,2.0,47.0,3
2052,Electronic City,1500.0,2.0,64.5,3
2053,Electronic City,1060.0,2.0,60.0,2
2054,Electronic City,1152.0,2.0,64.5,2
2056,Electronic City,770.0,1.0,36.0,2
2057,Electronic City,1070.0,2.0,52.0,2
2058,Electronic City,1025.0,2.0,46.0,2
2059,Electronic City,589.0,1.0,27.0,1
2061,Electronic City,910.0,2.0,40.0,2
2062,Electronic City,1108.0,2.0,63.0,2
2063,Electronic City,1128.0,2.0,65.0,2
2064,Electronic City,1800.0,3.0,95.0,3
2065,Electronic City,630.0,1.0,34.65,1
2066,Electronic City,1128.0,2.0,63.0,2
2067,Electronic City,1599.0,3.0,99.0,3
2070,Electronic City,1070.0,2.0,55.0,2
2071,Electronic City,940.0,2.0,41.0,2
2073,Electronic City,1128.0,2.0,68.75,2
2074,Electronic City,1342.0,2.0,73.3,2
2075,Electronic City,1360.0,2.0,71.0,3
2077,Electronic City,1265.0,2.0,56.93,2
2078,Electronic City,1691.0,2.0,102.0,3
2079,Electronic City,1128.0,2.0,65.49,2
2082,Electronic City,1070.0,2.0,56.1,2
2083,Electronic City,2000.0,4.0,120.0,4
2084,Electronic City,890.0,2.0,45.0,2
2085,Electronic City,1128.0,2.0,65.65,2
2086,Electronic City,865.0,2.0,42.0,2
2088,Electronic City,910.0,2.0,42.0,2
2090,Electronic City,1360.0,2.0,75.0,3
2091,Electronic City,770.0,1.0,40.0,2
2092,Electronic City,1128.0,2.0,64.0,2
2093,Electronic City,1070.0,2.0,54.0,2
2095,Electronic City,1571.0,3.0,89.0,3
2096,Electronic City,1111.0,3.0,50.0,3
2097,Electronic City,870.0,2.0,39.5,2
2099,Electronic City,1374.0,2.0,72.0,3
2101,Electronic City,1128.0,2.0,65.35,2
2102,Electronic City,1128.0,2.0,65.0,2
2103,Electronic City,755.0,1.0,34.0,2
2107,Electronic City,1563.0,3.0,91.84,3
2108,Electronic City,1652.0,3.0,70.0,3
2110,Electronic City,1025.0,2.0,54.5,2
2112,Electronic City,1350.0,3.0,58.0,3
2115,Electronic City,1700.0,3.0,75.0,3
2117,Electronic City,1128.0,2.0,68.0,2
2118,Electronic City,700.0,1.0,35.0,1
2119,Electronic City,1360.0,2.0,70.5,3
2121,Electronic City,1571.0,3.0,105.0,3
2125,Electronic City,1600.0,3.0,104.0,3
2127,Electronic City,1500.0,2.0,100.0,3
2131,Electronic City,1152.0,2.0,65.0,2
2132,Electronic City,1070.0,2.0,60.0,2
2133,Electronic City,1128.0,2.0,65.5,2
2134,Electronic City,1200.0,2.0,59.0,2
2135,Electronic City,1152.0,2.0,65.75,2
2137,Electronic City,1070.0,2.0,55.0,2
2138,Electronic City,1060.0,2.0,58.0,2
2139,Electronic City,1025.0,2.0,54.1,2
2144,Electronic City,1500.0,2.0,78.0,3
2145,Electronic City,1213.0,2.0,59.32,2
2146,Electronic City,1575.0,3.0,90.0,3
2147,Electronic City,435.0,1.0,19.5,1
2148,Electronic City,1449.0,3.0,100.0,3
2150,Electronic City,1125.0,2.0,58.0,2
2152,Electronic City,1575.0,3.0,101.0,3
2154,Electronic City,550.0,1.0,12.0,1
2155,Electronic City,919.0,2.0,40.0,2
2156,Electronic City,1500.0,2.0,78.25,3
2157,Electronic City,1363.0,2.0,79.0,2
2160,Electronic City,1108.0,2.0,67.15,2
2162,Electronic City,1128.0,2.0,65.7,2
2164,Electronic City,1060.0,2.0,51.0,2
2166,Electronic City,1650.0,3.0,100.0,3
2168,Electronic City,1025.0,2.0,49.0,2
2170,Electronic City,1449.0,3.0,90.0,3
2172,Electronic City,1070.0,2.0,58.0,2
2173,Electronic City,1210.0,2.0,54.0,2
2174,Electronic City,1500.0,2.0,75.0,3
2176,Electronic City,1070.0,2.0,52.0,2
2177,Electronic City,2435.0,4.0,119.0,4
2182,Electronic City,1073.0,2.0,60.0,2
2183,Electronic City,1500.0,2.0,78.0,3
2184,Electronic City,1070.0,2.0,47.0,2
2185,Electronic City,1296.0,2.0,65.0,2
2186,Electronic City,1140.0,2.0,70.93,2
2192,Electronic City,2093.0,4.0,104.0,4
2193,Electronic City,1025.0,2.0,53.9,2
2194,Electronic City,940.0,2.0,54.0,2
2195,Electronic City,435.0,1.0,21.0,1
2196,Electronic City,1500.0,2.0,77.5,3
2197,Electronic City,1631.0,3.0,80.0,3
2198,Electronic City,1355.0,2.0,67.0,2
2201,Electronic City,435.0,1.0,22.0,1
2203,Electronic City,1039.0,2.0,50.0,2
2204,Electronic City,770.0,1.0,39.9,2
2206,Electronic City,1128.0,2.0,64.0,2
2207,Electronic City,605.0,1.0,13.31,1
2209,Electronic City,530.0,1.0,13.5,1
2210,Electronic City,1070.0,2.0,53.0,2
2213,Electronic City,1571.0,3.0,83.0,3
2215,Electronic City,1350.0,3.0,66.0,3
2216,Electronic City,1652.0,3.0,110.0,3
2220,Electronic City,1128.0,2.0,65.58,2
2221,Electronic City,635.0,1.0,28.0,1
2222,Electronic City,1128.0,2.0,65.4,2
2225,Electronic City,1355.0,2.0,72.9,2
2229,Electronic City,770.0,1.0,35.0,2
2231,Electronic City,865.0,2.0,40.0,2
2234,Electronic City,1108.0,2.0,63.0,2
2235,Electronic City,630.0,1.0,40.5,1
2238,Electronic City,605.0,1.0,22.0,1
2240,Electronic City,1070.0,2.0,48.0,2
2242,Electronic City,1360.0,2.0,70.0,3
2243,Electronic City,635.0,1.0,28.0,1
2244,Electronic City,1128.0,2.0,65.45,2
2245,Electronic City,890.0,2.0,40.0,2
2250,Electronic City,1360.0,2.0,58.0,3
2253,Electronic City,630.0,1.0,33.7,1
2257,Electronic City,1400.0,3.0,90.0,3
2258,Electronic City,1287.0,3.0,55.0,3
2259,Electronic City,1258.0,2.0,85.5,2
2260,Electronic City,1386.0,2.0,85.0,2
2261,Electronic City,550.0,1.0,27.0,1
2262,Electronic City,1025.0,2.0,50.0,2
2264,Electronic City,1070.0,2.0,55.0,2
2265,Electronic City,1342.0,2.0,72.0,2
2266,Electronic City,1275.0,3.0,70.0,3
2267,Electronic City,770.0,1.0,38.0,2
2272,Electronic City,1644.0,3.0,92.59,3
2273,Electronic City,1250.0,2.0,62.0,2
2276,Electronic City,418.0,1.0,12.0,1
2277,Electronic City,1128.0,2.0,64.8,2
2280,Electronic City,1060.0,2.0,55.0,2
2281,Electronic City,710.0,1.0,40.42,1
2284,Electronic City,1275.0,3.0,63.43,3
2285,Electronic City,1518.0,3.0,75.0,3
2286,Electronic City,1090.0,2.0,31.48,1
2289,Electronic City,1060.0,2.0,55.0,2
2291,Electronic City,1353.0,2.0,75.0,2
2293,Electronic City,1128.0,2.0,67.0,2
2294,Electronic City,1070.0,2.0,57.0,2
2295,Electronic City,1700.0,3.0,90.0,3
2297,Electronic City,750.0,1.0,35.0,1
2298,Electronic City,1210.0,2.0,55.0,2
2299,Electronic City,1070.0,2.0,60.0,2
2304,Electronic City,1615.0,3.0,97.0,3
2306,Electronic City,1221.0,2.0,68.0,2
2308,Electronic City,1500.0,3.0,73.0,3
2309,Electronic City,995.0,2.0,48.0,2
2310,Electronic City,1342.0,2.0,90.0,2
2312,Electronic City,1128.0,2.0,63.5,2
2313,Electronic City,589.0,1.0,29.0,1
2316,Electronic City,1575.0,3.0,94.5,3
2317,Electronic City,1070.0,2.0,48.0,2
2318,Electronic City,1025.0,2.0,54.0,2
2319,Electronic City,1500.0,2.0,70.0,3
2320,Electronic City,1500.0,2.0,64.5,3
2322,Electronic City,2093.0,4.0,134.0,4
2324,Electronic City,1355.0,2.0,73.0,2
2325,Electronic City,1360.0,2.0,64.99,3
2326,Electronic City,1060.0,2.0,52.0,2
2328,Electronics City Phase 1,1475.0,3.0,78.29,3
2329,Electronics City Phase 1,1490.0,3.0,78.8,3
2330,Electronics City Phase 1,1113.27,2.0,53.0,2
2331,Electronics City Phase 1,1490.0,3.0,84.0,3
2338,Electronics City Phase 1,1015.0,2.0,56.0,2
2340,Electronics City Phase 1,1515.0,2.0,80.91,3
2341,Electronics City Phase 1,995.0,2.0,46.0,2
2342,Electronics City Phase 1,1555.0,2.0,82.0,3
2343,Electronics City Phase 1,1340.0,2.0,75.0,2
2344,Electronics City Phase 1,1124.0,2.0,55.0,3
2345,Electronics City Phase 1,1175.0,2.0,57.0,2
2346,Electronics City Phase 1,755.0,1.0,42.41,1
2347,Electronics City Phase 1,580.0,1.0,27.0,1
2348,Electronics City Phase 1,940.0,2.0,49.0,2
2349,Electronics City Phase 1,1335.0,2.0,67.0,2
2350,Electronics City Phase 1,1113.12,2.0,55.0,2
2352,Electronics City Phase 1,1350.0,3.0,71.0,3
2354,Electronics City Phase 1,995.0,2.0,49.8,2
2355,Electronics City Phase 1,635.0,1.0,26.0,1
2356,Electronics City Phase 1,1190.0,2.0,68.0,2
2358,Electronics City Phase 1,1450.0,3.0,72.54,3
2359,Electronics City Phase 1,360.0,1.0,16.9,1
2360,Electronics City Phase 1,638.0,1.0,32.0,1
2361,Electronics City Phase 1,1175.0,2.0,64.98,2
2362,Electronics City Phase 1,585.0,1.0,21.0,1
2363,Electronics City Phase 1,1200.0,2.0,59.76,2
2364,Electronics City Phase 1,1145.0,2.0,54.0,2
2365,Electronics City Phase 1,1125.0,2.0,65.0,2
2367,Electronics City Phase 1,1550.0,2.0,82.0,3
2369,Electronics City Phase 1,865.0,2.0,40.0,2
2373,Electronics City Phase 1,1800.0,3.0,93.0,3
2374,Electronics City Phase 1,1314.0,2.0,60.0,2
2375,Electronics City Phase 1,1170.0,2.0,62.0,2
2376,Electronics City Phase 1,1450.0,3.0,79.0,3
2377,Electronics City Phase 1,940.0,2.0,48.0,2
2378,Electronics City Phase 1,940.0,2.0,44.0,2
2379,Electronics City Phase 1,1300.0,2.0,67.0,2
2380,Electronics City Phase 1,1028.0,2.0,51.0,2
2382,Electronics City Phase 1,1205.0,2.0,60.0,2
2384,Electronics City Phase 1,1305.0,2.0,67.0,2
2385,Electronics City Phase 1,755.0,1.0,30.12,1
2386,Electronics City Phase 1,1175.0,2.0,60.0,2
2387,Giri Nagar,2400.0,4.0,400.0,4
2388,Giri Nagar,1800.0,3.0,252.0,3
2389,Giri Nagar,1350.0,3.0,240.0,3
2390,Giri Nagar,2400.0,4.0,400.0,4
2391,Giri Nagar,3000.0,4.0,375.0,6
2392,Giri Nagar,2400.0,6.0,400.0,6
2393,Giri Nagar,4000.0,3.0,750.0,4
2394,Green Glen Layout,1670.0,3.0,120.0,3
2395,Green Glen Layout,3250.0,4.0,230.0,4
2396,Green Glen Layout,1776.42,3.0,105.0,3
2397,Green Glen Layout,3250.0,4.0,230.0,4
2398,Green Glen Layout,940.0,2.0,56.8,2
2399,Green Glen Layout,1075.0,2.0,60.0,2
2400,Green Glen Layout,1715.0,3.0,115.0,3
2401,Green Glen Layout,1751.0,2.0,115.0,3
2402,Green Glen Layout,1750.0,3.0,130.0,3
2403,Green Glen Layout,1530.0,3.0,105.0,3
2404,Green Glen Layout,1752.0,3.0,105.0,3
2405,Green Glen Layout,1680.0,4.0,95.0,3
2406,Green Glen Layout,1728.0,3.0,125.0,3
2407,Green Glen Layout,1645.0,3.0,110.0,3
2408,Green Glen Layout,1517.0,3.0,100.0,3
2409,Green Glen Layout,3150.0,4.0,218.0,4
2411,Green Glen Layout,1750.0,3.0,120.0,3
2412,Green Glen Layout,1751.0,3.0,115.0,3
2413,Green Glen Layout,1750.0,3.0,105.0,3
2414,Green Glen Layout,1885.0,3.0,135.0,3
2415,Green Glen Layout,1715.0,3.0,120.0,3
2416,Green Glen Layout,1623.29,2.0,105.0,3
2417,Green Glen Layout,1715.0,3.0,115.0,3
2418,Green Glen Layout,1715.0,3.0,105.0,3
2419,Green Glen Layout,1600.0,3.0,105.0,3
2420,Green Glen Layout,1717.0,3.0,125.0,3
2421,Green Glen Layout,1250.0,2.0,75.0,2
2422,Green Glen Layout,1715.0,3.0,112.0,3
2423,Gubbalala,1470.0,2.0,82.0,3
2424,Gubbalala,1745.0,3.0,104.0,3
2425,Gubbalala,1745.0,3.0,115.0,3
2426,Gubbalala,1745.0,3.0,110.0,3
2427,Gubbalala,1650.0,3.0,71.0,3
2428,Gubbalala,2570.0,4.0,141.0,5
2429,Gubbalala,1205.0,2.0,70.0,2
2430,Gubbalala,1435.0,2.0,80.0,3
2431,Gubbalala,1475.0,2.0,80.0,2
2433,Gubbalala,1100.0,2.0,49.5,2
2434,Gubbalala,1060.0,2.0,46.0,2
2435,Gubbalala,2000.0,3.0,125.0,3
2437,Gunjur,1140.0,2.0,43.0,2
2438,Gunjur,1356.0,2.0,66.0,3
2439,Gunjur,1600.0,3.0,75.0,3
2440,Gunjur,2000.0,3.0,95.0,4
2441,Gunjur,1140.0,2.0,49.11,2
2442,Gunjur,1195.0,2.0,44.0,2
2443,Gunjur,1190.0,2.0,40.0,2
2444,Gunjur,1457.0,2.0,60.0,2
2445,Gunjur,1080.0,2.0,41.0,2
2448,Gunjur,1175.0,2.0,43.48,2
2449,Gunjur,1362.0,3.0,62.63,3
2450,Gunjur,1071.0,2.0,51.0,2
2451,Gunjur,1063.0,2.0,40.0,2
2452,Gunjur,1235.0,2.0,52.76,2
2453,Gunjur,1362.0,3.0,62.63,3
2454,Gunjur,1362.0,3.0,62.63,3
2455,Gunjur,1588.0,2.0,90.0,3
2456,Gunjur,1235.0,2.0,44.5,2
2457,Gunjur,1457.0,2.0,60.0,2
2458,HAL 2nd Stage,1490.0,2.0,300.0,3
2459,HAL 2nd Stage,600.0,3.0,145.0,2
2460,HAL 2nd Stage,2700.0,3.0,500.0,3
2461,HAL 2nd Stage,2040.0,4.0,500.0,5
2462,HBR Layout,2800.0,2.0,200.0,3
2463,HBR Layout,1722.0,3.0,95.0,3
2464,HBR Layout,1200.0,4.0,120.0,4
2465,HBR Layout,1200.0,2.0,60.0,2
2466,HBR Layout,1004.0,2.0,49.0,2
2467,HBR Layout,1783.0,3.0,125.0,3
2468,HBR Layout,1656.0,3.0,90.0,3
2469,HBR Layout,1089.0,2.0,60.0,2
2470,HBR Layout,1700.0,3.0,110.0,3
2471,HBR Layout,1198.0,2.0,65.0,2
2472,HBR Layout,1200.0,4.0,115.0,4
2473,HBR Layout,1200.0,2.0,120.0,2
2474,HBR Layout,1832.0,3.0,160.0,3
2475,HRBR Layout,1374.0,2.0,95.0,2
2476,HRBR Layout,1440.0,2.0,98.0,2
2478,HRBR Layout,2800.0,3.0,250.0,3
2479,HRBR Layout,1210.0,2.0,75.0,2
2480,HRBR Layout,1265.0,2.0,78.0,2
2481,HRBR Layout,1170.0,2.0,75.0,2
2483,HRBR Layout,1900.0,3.0,90.0,4
2484,HRBR Layout,1625.0,3.0,120.0,3
2485,HRBR Layout,1301.0,2.0,120.0,2
2486,HRBR Layout,1145.0,2.0,68.5,2
2487,HRBR Layout,1300.0,2.0,90.0,2
2489,HSR Layout,1372.0,2.0,68.0,2
2491,HSR Layout,1475.0,3.0,75.0,3
2492,HSR Layout,1467.0,2.0,55.0,2
2493,HSR Layout,1140.0,2.0,46.0,2
2494,HSR Layout,1372.0,2.0,61.0,2
2495,HSR Layout,1750.0,3.0,95.0,3
2497,HSR Layout,1027.0,2.0,44.0,2
2498,HSR Layout,1650.0,3.0,110.0,3
2499,HSR Layout,1140.0,2.0,46.0,2
2500,HSR Layout,1372.0,2.0,61.0,2
2501,HSR Layout,1140.0,2.0,46.0,2
2502,HSR Layout,1185.0,2.0,60.0,2
2503,HSR Layout,1127.0,2.0,68.0,2
2504,HSR Layout,1600.0,2.0,115.0,3
2505,HSR Layout,1145.0,2.0,48.0,2
2506,HSR Layout,1009.0,2.0,56.0,2
2507,HSR Layout,1300.0,2.0,98.0,2
2509,HSR Layout,1140.0,2.0,46.0,2
2510,HSR Layout,1126.0,2.0,69.0,2
2512,HSR Layout,1140.0,2.0,46.0,2
2513,HSR Layout,1145.0,2.0,46.0,2
2514,HSR Layout,1142.0,2.0,65.0,2
2515,HSR Layout,1145.0,2.0,46.0,2
2516,HSR Layout,1844.0,3.0,95.0,3
2517,HSR Layout,1203.0,2.0,72.0,2
2518,HSR Layout,1140.0,2.0,46.0,2
2519,HSR Layout,4200.0,5.0,245.0,5
2520,HSR Layout,1140.0,2.0,46.0,2
2521,HSR Layout,1145.0,2.0,46.0,2
2522,HSR Layout,1009.0,2.0,56.0,2
2523,HSR Layout,1145.0,2.0,46.0,2
2524,HSR Layout,1100.0,2.0,44.0,2
2525,HSR Layout,1203.0,2.0,60.0,2
2526,HSR Layout,1120.0,2.0,70.0,2
2527,HSR Layout,1140.0,2.0,46.0,2
2528,HSR Layout,1289.0,2.0,70.0,2
2529,HSR Layout,1844.0,3.0,89.0,3
2530,HSR Layout,1203.0,2.0,60.0,2
2531,HSR Layout,1140.0,2.0,46.0,2
2532,Haralur Road,1240.0,2.0,70.0,2
2533,Haralur Road,1027.0,2.0,44.0,2
2536,Haralur Road,1194.0,2.0,47.0,2
2537,Haralur Road,1202.0,2.0,53.0,2
2538,Haralur Road,1056.0,2.0,61.0,2
2540,Haralur Road,1810.0,3.0,100.0,3
2541,Haralur Road,1194.0,2.0,46.0,2
2543,Haralur Road,1225.0,2.0,67.38,2
2544,Haralur Road,1243.0,2.0,46.0,2
2545,Haralur Road,1027.0,2.0,44.0,2
2546,Haralur Road,1920.0,3.0,115.0,3
2547,Haralur Road,1875.0,3.0,110.0,3
2548,Haralur Road,1194.0,2.0,47.0,2
2549,Haralur Road,1140.0,2.0,43.0,2
2550,Haralur Road,1027.0,2.0,44.0,2
2551,Haralur Road,1194.0,2.0,46.0,2
2552,Haralur Road,2017.0,3.0,125.0,3
2553,Haralur Road,1140.0,2.0,43.0,2
2554,Haralur Road,1875.0,3.0,110.0,3
2555,Haralur Road,1092.0,2.0,44.0,2
2556,Haralur Road,2475.0,4.0,130.0,3
2557,Haralur Road,1300.0,2.0,73.0,2
2558,Haralur Road,1194.0,2.0,47.0,2
2559,Haralur Road,1243.0,2.0,46.0,2
2560,Haralur Road,1850.0,3.0,110.0,3
2561,Haralur Road,1225.0,2.0,67.38,2
2562,Haralur Road,1243.0,2.0,46.0,2
2563,Haralur Road,3400.0,5.0,240.0,4
2564,Haralur Road,1464.0,2.0,56.0,2
2565,Haralur Road,1230.0,2.0,78.0,2
2566,Haralur Road,1000.0,2.0,44.0,2
2568,Haralur Road,1300.0,2.0,79.0,2
2569,Haralur Road,1444.0,2.0,80.0,3
2570,Haralur Road,1088.0,2.0,68.0,2
2571,Haralur Road,1027.0,2.0,44.0,2
2573,Haralur Road,1225.0,2.0,70.0,2
2575,Haralur Road,1194.0,2.0,46.0,2
2576,Haralur Road,1830.0,3.0,101.0,3
2577,Haralur Road,1810.0,3.0,126.0,3
2578,Haralur Road,1464.0,2.0,56.0,2
2579,Haralur Road,1520.0,2.0,96.0,3
2580,Haralur Road,1300.0,2.0,75.0,2
2581,Haralur Road,2017.0,2.0,125.0,3
2582,Haralur Road,1243.0,2.0,46.0,2
2583,Haralur Road,1027.0,2.0,44.0,2
2584,Haralur Road,2805.0,5.0,160.0,4
2585,Haralur Road,1243.0,2.0,46.0,2
2586,Haralur Road,1027.0,2.0,44.0,2
2587,Haralur Road,2017.0,3.0,105.0,3
2588,Haralur Road,1243.0,2.0,46.0,2
2589,Haralur Road,1243.0,2.0,46.0,2
2590,Haralur Road,1520.0,2.0,90.0,3
2591,Haralur Road,1300.0,2.0,60.0,2
2592,Haralur Road,1985.0,3.0,130.0,3
2593,Haralur Road,1255.0,2.0,90.0,3
2594,Haralur Road,1056.0,2.0,60.0,2
2595,Haralur Road,1140.0,2.0,42.0,2
2596,Haralur Road,1245.0,2.0,62.0,2
2597,Haralur Road,1140.0,2.0,58.0,2
2598,Haralur Road,1140.0,2.0,42.0,2
2599,Haralur Road,1027.0,2.0,43.0,2
2600,Haralur Road,1194.0,2.0,47.0,2
2601,Haralur Road,1194.0,2.0,47.0,2
2602,Haralur Road,1560.0,3.0,90.0,3
2603,Haralur Road,1520.0,2.0,85.0,3
2604,Haralur Road,1243.0,2.0,45.0,2
2605,Haralur Road,1027.0,2.0,44.0,2
2606,Haralur Road,1194.0,2.0,46.0,2
2607,Haralur Road,1650.0,3.0,100.0,3
2608,Haralur Road,1580.0,3.0,73.0,3
2609,Haralur Road,1243.0,2.0,46.0,2
2610,Haralur Road,1194.0,2.0,47.0,2
2612,Haralur Road,1520.0,2.0,96.0,3
2613,Haralur Road,1510.0,3.0,83.05,3
2614,Haralur Road,1056.0,2.0,65.0,2
2615,Haralur Road,1810.0,3.0,100.0,3
2616,Haralur Road,1243.0,2.0,46.0,2
2617,Haralur Road,575.0,1.0,38.0,1
2618,Haralur Road,1194.0,2.0,46.0,2
2619,Haralur Road,1243.0,2.0,46.0,2
2620,Haralur Road,1194.0,2.0,46.0,2
2621,Haralur Road,1140.0,2.0,43.0,2
2622,Haralur Road,1850.0,3.0,120.0,3
2623,Haralur Road,1194.0,2.0,47.0,2
2624,Haralur Road,1194.0,2.0,47.0,2
2626,Haralur Road,1243.0,2.0,46.0,2
2627,Haralur Road,1710.0,3.0,85.0,3
2628,Haralur Road,1730.0,3.0,95.0,3
2629,Haralur Road,1243.0,2.0,46.0,2
2630,Haralur Road,1243.0,2.0,46.0,2
2631,Haralur Road,1243.0,2.0,46.0,2
2632,Haralur Road,1817.0,3.0,110.0,3
2633,Haralur Road,1225.0,2.0,77.0,2
2634,Haralur Road,1285.0,2.0,78.0,2
2635,Haralur Road,1225.0,2.0,67.48,2
2636,Haralur Road,1225.0,2.0,69.84,2
2637,Haralur Road,1200.0,2.0,46.0,2
2638,Haralur Road,1315.0,2.0,85.0,2
2639,Haralur Road,1976.0,3.0,92.0,3
2640,Haralur Road,1300.0,2.0,75.0,2
2641,Haralur Road,1309.0,2.0,82.0,2
2642,Haralur Road,1027.0,1.0,44.0,2
2643,Haralur Road,1243.0,2.0,46.0,2
2644,Haralur Road,1243.0,2.0,46.0,2
2645,Haralur Road,1140.0,2.0,43.0,2
2646,Haralur Road,1300.0,2.0,75.0,2
2647,Haralur Road,1243.0,2.0,46.0,2
2648,Haralur Road,1890.0,3.0,84.0,3
2649,Haralur Road,1230.0,2.0,67.65,2
2650,Haralur Road,1194.0,2.0,46.0,2
2651,Haralur Road,1092.0,2.0,44.0,2
2653,Haralur Road,1255.0,3.0,90.0,3
2654,Haralur Road,1735.0,3.0,97.0,3
2655,Haralur Road,1810.0,3.0,97.83,3
2656,Haralur Road,1200.0,2.0,46.0,2
